Import_JA;Typ;Kurztext;Artikel_Nr;Einheit;EK_Preis;VK_Preis_1;VK_Preis_2;VK_Preis_3;Gewerk;Lieferant;Langtext
X;Leistung;Tischlergeselle Stufe 2;;STD.;50,00;67,50;73,75;81,00;Tischler;Tischlerei R.Graupner;•Tischlergeselle Stufe 2•  Lohnarbeiten für Notwendige  Arbeiten die ausgeführt werden müssen  und per Zeitaufwand abgerechnet  werden.
X;Leistung;GUS 600/1000F: Fensterwartung;;Stk;39,73;79,46;119,19;198,65;GUS Wartung;Tischlerei R.Graupner;600x1000mm (GUS) Fenster-Elementflügel  wie folgt fachgerecht warten:   Elementflügel auf Gängigkeit prüfen  GUS 600/1000F: Fensterwartung bis  600x1000mm Elementbeschläge und Getriebe säubern  Mit Kriech- und Reinigung-Wartungsspray  behandeln Elementflügel auf Zugluft  prüfen und einstellen Elementgriff  nachstellen. Abrechnung per Stück/  Flügelelement
X;Leistung;Tischlergeselle Stufe 1;;STD.;40,00;55,00;62,32;68,72;Tischler;Tischlerei R.Graupner;•Tischlergeselle Stufe 5•  Lohnarbeiten für Notwendige  Arbeiten die ausgeführt werden müssen  und per Zeitaufwand abgerechnet  werden.
X;Leistung;HS-Element Holz BxD 1,5/45mm rep.;Hs-Türdicke 45;Stk;1600,00;1840,00;2000,00;2240,00;HS-Typ Holz HxBxD=ca.2,2x1,5x0,45;Tischlerei R.Graupner;Hebeschiebeelement fachgerecht Umbauen/  reparieren wie folgt: -  Hebeschiebeflügel fachgerecht  demontieren und vertragen, Flügelgriff,  Falzbandgetriebe und Schiebeschlitten/ Laufwagen der Marke GU/ Roto und  zugehörige Rahmenbauteile demontieren -  Rahmenfalz für Falzbandgetriebe  reinigen und für den Einbau von neuen  Getriebeschiene, und Schiebeschlitten/ Laufwagen vorbereiten - Anschließend  zuschneiden und Montage von neuem  Hebeschiebeelementbeschlag -  Hebeschiebeflügel wieder fachgerecht  montieren, Flügelgriff montieren -  Alles einstellen und auf Gängigkeit  überprüfen. Alles in fix und fertiger  Arbeit
X;Leistung;HS-Element Kunstoff BxD 1,5/45mm rep.;Hs-Türdicke 45;Stk;1800,00;2070,00;2250,00;2520,00;HS-Typ KS HxBxD=ca.2,2x1,5x0,45;Tischlerei R.Graupner;Hebeschiebeelement fachgerecht Umbauen/  reparieren wie folgt: -  Hebeschiebeflügel fachgerecht  demontieren und vertragen, Flügelgriff,  Falzbandgetriebe und Schiebeschlitten/ Laufwagen der Marke GU/ Roto und  zugehörige Rahmenbauteile demontieren -  Rahmenfalz für Falzbandgetriebe  reinigen und für den Einbau von neuen  Getriebeschiene, und Schiebeschlitten/ Laufwagen vorbereiten - Anschließend  zuschneiden und Montage von neuem  Hebeschiebeelementbeschlag -  Hebeschiebeflügel wieder fachgerecht  montieren, Flügelgriff montieren -  Alles einstellen und auf Gängigkeit  überprüfen. Alles in fix und fertiger  Arbeit
X;Leistung;HS-Element Kunstoff BxD 1,8/45mm rep.;;Stk;2400,00;2760,00;3000,00;3360,00;HS-Typ KS HxBxD=ca.2,2x1,8x0,45;Tischlerei R.Graupner;Hebeschiebeelement fachgerecht Umbauen/  reparieren wie folgt: -  Hebeschiebeflügel fachgerecht  demontieren und vertragen, Flügelgriff,  Falzbandgetriebe und Schiebeschlitten/ Laufwagen der Marke GU/ Roto und  zugehörige Rahmenbauteile demontieren -  Rahmenfalz für Falzbandgetriebe  reinigen und für den Einbau von neuen  Getriebeschiene, und Schiebeschlitten/ Laufwagen vorbereiten - Anschließend  zuschneiden und Montage von neuem  Hebeschiebeelementbeschlag -  Hebeschiebeflügel wieder fachgerecht  montieren, Flügelgriff montieren -  Alles einstellen und auf Gängigkeit  überprüfen. Alles in fix und fertiger  Arbeit
X;Leistung;HS-Element Kunstoff BxD 2,5/45mm rep.;;Stk;2500,00;2875,00;3125,00;3500,00;HS-Typ KS HxBxD=ca.2,2x2,5x0,45;Tischlerei R.Graupner;Hebeschiebeelement fachgerecht Umbauen/  reparieren wie folgt: -  Hebeschiebeflügel fachgerecht  demontieren und vertragen, Flügelgriff,  Falzbandgetriebe und Schiebeschlitten/ Laufwagen der Marke GU/ Roto und  zugehörige Rahmenbauteile demontieren -  Rahmenfalz für Falzbandgetriebe  reinigen und für den Einbau von neuen  Getriebeschiene, und Schiebeschlitten/ Laufwagen vorbereiten - Anschließend  zuschneiden und Montage von neuem  Hebeschiebeelementbeschlag -  Hebeschiebeflügel wieder fachgerecht  montieren, Flügelgriff montieren -  Alles einstellen und auf Gängigkeit  überprüfen. Alles in fix und fertiger  Arbeit
X;Leistung;HS-Element ALU BxD bis 1,5/45mm rep.;Hs-Türdicke 45;Stk;2400,00;2760,00;3000,00;3360,00;HS-Typ ALU HxBxD=ca.2,2x1,5x0,45;Tischlerei R.Graupner;Hebeschiebeelement fachgerecht Umbauen/  reparieren wie folgt: -  Hebeschiebeflügel fachgerecht  demontieren und vertragen, Flügelgriff,  Falzbandgetriebe und Schiebeschlitten/ Laufwagen der Marke GU/ Roto und  zugehörige Rahmenbauteile demontieren -  Rahmenfalz für Falzbandgetriebe  reinigen und für den Einbau von neuen  Getriebeschiene, und Schiebeschlitten/ Laufwagen vorbereiten - Anschließend  zuschneiden und Montage von neuem  Hebeschiebeelementbeschlag -  Hebeschiebeflügel wieder fachgerecht  montieren, Flügelgriff montieren -  Alles einstellen und auf Gängigkeit  überprüfen. Alles in fix und fertiger  Arbeit
X;Leistung;HS-Element ALU BxD bis 1,8/45mm rep.;;Stk;3200,00;3680,00;4000,00;4480,00;HS-Typ ALU HxBxD=ca.2,2x1,8x0,45;Tischlerei R.Graupner;Hebeschiebeelement fachgerecht Umbauen/  reparieren wie folgt: -  Hebeschiebeflügel fachgerecht  demontieren und vertragen, Flügelgriff,  Falzbandgetriebe und Schiebeschlitten/ Laufwagen der Marke GU/ Roto und  zugehörige Rahmenbauteile demontieren -  Rahmenfalz für Falzbandgetriebe  reinigen und für den Einbau von neuen  Getriebeschiene, und Schiebeschlitten/ Laufwagen vorbereiten - Anschließend  zuschneiden und Montage von neuem  Hebeschiebeelementbeschlag -  Hebeschiebeflügel wieder fachgerecht  montieren, Flügelgriff montieren -  Alles einstellen und auf Gängigkeit  überprüfen. Alles in fix und fertiger  Arbeit
X;Leistung;HS-Element ALU BxD bis 2,5/45mm rep.;;Stk;3800,00;4370,00;4750,00;5320,00;HS-Typ ALU HxBxD=ca.2,2x2,5x0,45;Tischlerei R.Graupner;Hebeschiebeelement fachgerecht Umbauen/  reparieren wie folgt: -  Hebeschiebeflügel fachgerecht  demontieren und vertragen, Flügelgriff,  Falzbandgetriebe und Schiebeschlitten/ Laufwagen der Marke GU/ Roto und  zugehörige Rahmenbauteile demontieren -  Rahmenfalz für Falzbandgetriebe  reinigen und für den Einbau von neuen  Getriebeschiene, und Schiebeschlitten/ Laufwagen vorbereiten - Anschließend  zuschneiden und Montage von neuem  Hebeschiebeelementbeschlag -  Hebeschiebeflügel wieder fachgerecht  montieren, Flügelgriff montieren -  Alles einstellen und auf Gängigkeit  überprüfen. Alles in fix und fertiger  Arbeit
X;Leistung;Tischlergeselle Stufe 3 für Notdienst;;Stk;50,00;67,50;73,75;81,00;Psk;Tischlerei R.Graupner;•Tischlergeselle Stufe 3•  Lohnarbeiten für Notwendige  Arbeiten die ausgeführt werden müssen  und per Zeitaufwand abgerechnet  werden.
X;Leistung;GUS1000/1500 FensterwartungZwang einfach;;Stk;65,29;97,94;130,58;195,87;GUS Wartung;Tischlerei R.Graupner;Zustandsbericht  wie vorhanden. . KS-Fenster 2 Flg. . BJ. Zw. 1992 + 1982 . Format/Lastenverteilung: Flügel sind  breiter als hoch und setzen auf. . Flügelmaße von bis: 1200x900 und -  1100 x 1100 Schraubenzustand sehr schlecht,  Schraubensitz lose und blockieren  teilweise die Funktiom.  1000x1500mm (GUS) Fenster-Elementflügel  wie folgt fachgerecht warten:   Elementbeschläge und Getriebe säubern  Mit Kriech- und Reinigung-Wartungsspray  behandeln Elementflügel auf Zugluft  prüfen und einstellen Elementgriff  nachstellen. Abrechnung per Stück/  Flügelelement
X;Leistung;Hebe-Schiebe-Element bis 2,5M reparieren;;Stk;;1600,00;1850,00;2250,00;;;Hebe-Schiebe-Element bis 2,5M reparieren Hebeschiebeelement fachgerecht Umbauen/  reparieren wie folgt: -  Hebeschiebeflügel fachgerecht  demontieren und vertragen, Flügelgriff,  Falzbandgetriebe und Schiebeschlitten/ Laufwagen der Marke GU/ Roto und  zugehörige Rahmenbauteile demontieren -  Rahmenfalz für Falzbandgetriebe  reinigen und für den Einbau von neuen  Getriebeschiene, und Schiebeschlitten/ Laufwagen vorbereiten - Anschließend  zuschneiden und Montage von neuem  Hebeschiebeelementbeschlag -  Hebeschiebeflügel wieder fachgerecht  montieren, Flügelgriff montieren -  Alles einstellen und auf Gängigkeit  überprüfen. Alles in fix und fertiger  Arbeit
X;Leistung;Schiebetür Holland mit Hakenschloss rep.;;Stk;;3217,27;;;;;Schiebeflügel fachgerecht demontieren  und vertragen, Flügelgriff,  Falzbandgetriebe und Schiebeschlitten,/ Laufwagen und zugehörige Rahmenbauteile  fachgerecht demontieren. Schiebe- Hakenschloss (1974) demontieren,  auseinandernehmen, alles überprüfen  ggf. Neu schweißen, alles wieder  zusammen bauen. Rahmenfalz für  Falzbandgetriebe reinigen und für den  Einbau von Flügelfalzband und  Schiebeschlitten/ Laufwagen zuschneiden  und Montage von Neuem Schiebeelement- Rollen. Schiebe- Element Bodenschiene  für den wieder Einbau prüfen, evtl.  Nacharbeiten und reinigen.  Schiebeflügel wieder fachgerecht  montieren, Flügelgriff neu montieren.  Alles in fix und Fertiger Arbeit.
X;Leistung;Notreparatur / Sicherung Türen & Fenster;;Stk;317,00;396,25;427,95;475,50;Notdienst;Notdienst;Notdienst wie folgt für 1 Mitarbeiter inkl. Anfahrt. Dienend zur Schadensfestellung und Sicherung !  - Werkzeug auftragsspezifisch  zusammenstellen  - Einsatzfahrzeug aufgaben spezifisch  packen -   Anfahrtzeit zum Einsatzort. Einrüstzeit  - Schadenanalyse & Aufmaß Arbeitszeit  vor Ort.  - Sicherung des Elements  Reparatur wenn nicht komplett möglich.   -  Werkzeug Rückbau und in das  Lieferfahrzeug verbringen   - Abnahmeprotokoll erstellen und  unterschreiben lassen.
X;Leistung;Notreparatur/Sicherung Psk Tür;;Stk;317,00;396,25;427,95;475,50;Notdienst;Notdienst;Notdienst wie folgt für 1 Mitarbeiter inkl. Anfahrt. Dienend zur Schadensfestellung und Sicherung !  - Werkzeug auftragsspezifisch zusammenstellen  - Einsatzfahrzeug aufgaben spezifisch packen  - Anfahrtzeit zum Einsatzort. Einrüstzeit  - Schadenanalyse & Aufmaß  Arbeitszeit vor Ort  - Sicherung des Elements Reparatur wenn nicht komplett möglich.  - Werkzeug Rückbau und in das Lieferfahrzeug verbringen  - Abnahmeprotokoll erstellen und unterschreiben lassen.
X;Leistung;Notreparatur / Sicherung Hebeschiebetür;;Stk;317,00;396,25;427,95;475,50;Notdienst;Notdienst;Notdienst wie folgt für 1 Mitarbeiter inkl. Anfahrt. Dienend zur Schadensfestellung und Sicherung !  - Werkzeug auftragsspezifisch zusammenstellen  - Einsatzfahrzeug aufgaben spezifisch packen  - Anfahrtzeit zum Einsatzort. Einrüstzeit  - Schadenanalyse & Aufmaß  Arbeitszeit vor Ort  - Sicherung des Elements Reparatur wenn nicht komplett möglich.  - Werkzeug Rückbau und in das Lieferfahrzeug verbringen  - Abnahmeprotokoll erstellen und unterschreiben lassen.
X;Leistung;GUS 1000/1500F: PSK - Wartung;;Stk;176,00;352,00;;;Psk;Tischlerei R.Graupner;GUS 1000/1500F: Psk-Wartung (GUS) Fenster-Elementflügel wie folgt fachgerecht warten:   Fehlerfindung. 1) Elementbeschläge und Getriebe  säubern.   2) Mit Kriech- und Reinigung- Wartungsspray behandeln.  3) Öffnung und Schließung prüfen.   4) Laufwagen prüfen.  5) Laufschiene prüfen.  6) Zuhaltungen: Rahmen prüfen.  7) Flügelgetriebe prüfen.  8) Elementflügel auf Zugluft prüfen.   9) Einstellen Elementgriff nachstellen.  Abrechnung per Stück/ Flügelelement.  •Bitte beachten:•  Angeboten wird hier die notwendige  Prüfung = Fehlerfindung und Wartung  der  PSK-Tür.   Eine Notwendige Reparatur inkl.   Teile die Getauscht werden  müssen und Arbeitsleistung die dies  bezüglich notwendig werden, sind  nicht in diesen Angebot enthalten. Gern erstellen wir Ihnen hierfür ein  Angebot. Bei entsprechender  Beauftragung schreiben wir Ihnen  15 % dieser Leistung gut.
