Typ;Name;Artikel_Nr;Beschreibung;Einheit;EK_Preis;VK_Preis_1;VK_Preis_2;VK_Preis_3;Subunternehmer
Leistung;HS-Element Holz BxD 2,5/45mm rep.;;Hebeschiebeelement fachgerecht Umbauen/  reparieren wie folgt: -  Hebeschiebeflügel fachgerecht  demontieren und vertragen, Flügelgriff,  Falzbandgetriebe und Schiebeschlitten/ Laufwagen der Marke GU/ Roto und  zugehörige Rahmenbauteile demontieren -  Rahmenfalz für Falzbandgetriebe  reinigen und für den Einbau von neuen  Getriebeschiene, und Schiebeschlitten/ Laufwagen vorbereiten - Anschließend  zuschneiden und Montage von neuem  Hebeschiebeelementbeschlag -  Hebeschiebeflügel wieder fachgerecht  montieren, Flügelgriff montieren -  Alles einstellen und auf Gängigkeit  überprüfen. Alles in fix und fertiger  Arbeit;Stk;2500,0;2875,0;3125,0;3500,0;Nein
Leistung;Elementdichtungen liefern;;Elementhochleistungsdichtung passend  liefern.  Unsere Fenster und  Türendichtungen haben hervorragende  Eigenschaften wie folgt: -  Thermoplastischen Elastomer (TPE- S),Härte nach ShoreA 30 bis A 80+/-5. -  Hervorragende UV-Ozon-und  Witterungsbeständigkeit, - keine  Rußauswaschungen , - Silikon-und  halogenfrei . - Gute Beständigkeit  gegen unverdünnte Laugen und Säuren  sowie Salzlösungen aller Art. -  Einsatzbereich von -40 Grad bis +110  Grad. Abrechnung nach Verbrauch.;lfm;5,5;19,74;21,21;28,29;Nein
Leistung;RC2 Umbau Fenster bis 1000 mm;;Dreh-Kipp Terrassenelement einflügelig  Dreh-Kipp bis 1000x1000 mm wie folgt  auf RC2 umbauen: Raum: Ebene: Beschläge  ermitteln und Bestellung. Elementflügel  fachgerecht demontieren. Elementgriff,  umlaufende Falzbandgetriebe und alle  ergänzende, zugehörige Rahmenbauteile  demontieren. Rahmenfalz reinigen und  für den Einbau von neuen Einbruchschutz  Beschlägen wie Flügelfalzbänder mit  Pilzkopfverschluss vorbereiten,  anschließend zuschneiden und Montage  von Eckumlenkung, Ecklager und allen  Zuhalterungen, Getriebe und  Scherengetriebe. Alles einstellen und  auf Gängigkeit überprüfen.;Stk;355,0;408,25;443,75;497,0;Nein
Leistung;Einrüstkosten/Sicherheitsrelevant;;Einrüstkosten/Sicherheitsrelevante  Maßnahmen für Aufstellung von  Abdeckmaterial, sicherheitsrelevanten  Maßnahmen Abrechnung nach Anzahl  Fenster, Türen, Objekte.;Stk;21,0;42,0;52,5;63,0;Nein
Leistung;Gesellenlohn welche für Wartungen,;;Gesellenlohn welche für Wartungen,  Abdichten und evtl. Notwendige Arbeiten  ausgeführt werden müssen und per  Zeitaufwand abgerechnet wird.;STD.;50,0;67,5;73,75;81,0;Nein
Leistung;Belastete Kunstoffdichtungen entsorgen;;Belastete Kunstoffdichtungen, welche  fachgerecht und ordnungsgemäß entsorgt  werden müssen;Stk;4,0;15,0;17,0;20,0;Nein
Leistung;Elementdichtung entfernen;;Elementflügeldichtungen fachgerecht  entfernen - alte Dichtung entfernen - Nuten evtl. Klebereste entfernen,  Nuten reinigen und für Montage von neuen Dichtungen  vorbereiten.Abrechnung nach Verbrauch;lfm;8,3;12,45;16,6;24,9;Nein
Leistung;Sofort Reparatur/ Notdienst;;•Sofort Reparatur/ Notdienst/ Fenster &  Türen•  Arbeiten die Vorort durch den Kunden  beauftragt wurden und extra zur  abrechnung kommen.  Erweiterter Aufwand zu Pos. 1  Erweiterte Abrechnung nach Aufwand:  Pro abzurechnende Stunde.;Stk;274,69;302,16;329,63;357,1;Nein
Leistung;RC2 Umbau Terrassenelement einflügelig;;Dreh-Kipp Terrassenelement einflügelig  Dreh-Kipp bis 2100x1000 mm wie folgt  auf RC2 umbauen: Raum: Ebene: Beschläge  ermitteln und Bestellung. Elementflügel  fachgerecht demontieren. Elementgriff,  umlaufende Falzbandgetriebe und alle  ergänzende, zugehörige Rahmenbauteile  demontieren. Rahmenfalz reinigen und  für den Einbau von neuen Einbruchschutz  Beschlägen wie Flügelfalzbänder mit  Pilzkopfverschluss vorbereiten,  anschließend zuschneiden und Montage  von Eckumlenkung, Ecklager und allen  Zuhalterungen, Getriebe und  Scherengetriebe. Alles einstellen und  auf Gängigkeit überprüfen.;Stk;0,0;927,0;684,0;0,0;Nein
Leistung;GUS 800/1000F: Fensterwartung;;800x1000mm (GUS) Fenster-Elementflügel  wie folgt fachgerecht warten:   Elementflügel auf Gängigkeit prüfen  GUS 600/1000F: Fensterwartung bis  600x1000mm Elementbeschläge und Getriebe säubern  Mit Kriech- und Reinigung-Wartungsspray  behandeln Elementflügel auf Zugluft  prüfen und einstellen Elementgriff  nachstellen. Abrechnung per Stück/  Flügelelement;Stk;57,97;86,96;115,94;173,91;Nein
Leistung;GUS 1000/1500F: Fensterwartung;;1000x1500mm (GUS) Fenster-Elementflügel  wie folgt fachgerecht warten:   Elementbeschläge und Getriebe säubern  Mit Kriech- und Reinigung-Wartungsspray  behandeln Elementflügel auf Zugluft  prüfen und einstellen Elementgriff  nachstellen. Abrechnung per Stück/  Flügelelement;Stk;65,29;97,94;130,58;195,87;Nein
Leistung;GUSVELUX1V: Fensterwartung Velux;;(GUS) Fenster-Elementflügel VELUX wie  folgt fachgerecht warten:   Elementflügel auf Gängigkeit prüfen -  Elementbeschläge und Getriebe säubern -  Mit Kriech- und Reinigung-  Wartungsspray behandeln - Elementflügel  auf Zugluft prüfen und einstellen -  Filtermaterial austauschen wenn nötig -  Elementgriff nachstellen. Abrechnung  per Stück/ Element;Stk;35,62;53,43;71,24;106,86;Nein
Leistung;GUS1000/2100BT: Balkontürwartung;;Kunstoff (GUS) Balkontür Kunstoff  wie  folgt fachgerecht warten Elementflügel  auf Gängigkeit prüfen Elementbeschläge  und Getriebe säubern Mit Kriech- und  Reinigung-Wartungsspray behandeln  Elementflügel auf Zugluft prüfen und  einstellen Elementgriff nachstellen.  Abrechnung per Stück/ Flügelelement;Stk;77,17;115,76;154,34;231,51;Nein
Leistung;±2± Mitarbeiter ±2 STD. Notdienst;;Notdienst wie folgt für 2 Mitarbeiter  - Werkzeug auftragsspezifisch  zusammenstellen - Einsatzfahrzeug aufgaben spezifisch  packen - Anfahrtzeit zum Einsatzort.  Einrüstzeit - Schadenanalyse & Aufmaß Reparaturzeit  vor Ort  - Sicherung des Elements Reparatur  nicht komplett möglich. - Werkzeug Rückbau und in das  Lieferfahrzeug verbringen - Abnahmeprotokoll erstellen und  unterschreiben lassen.;Stk;160,0;192,0;200,0;208,0;Nein
